t_in,t_rcv,latence_us,q0_in,q0_rcv
16190309833,16190309863,30,0.493767,0.000000
16190402345,16190402375,30,0.497618,0.008709
16190504087,16190504139,52,0.497618,0.037324
16190605761,16190605793,32,0.497618,0.071849
16190707496,16190707521,25,0.333322,0.135109
16190809220,16190809247,27,0.228186,0.254981
16190911338,16190911370,32,0.108274,0.344614
16191002859,16191002876,17,-0.018695,0.409165
16191104281,16191104302,21,-0.018695,0.477724
16191206585,16191206611,26,-0.250227,0.526341
16191409919,16191409944,25,-0.430198,0.563831
16191511510,16191511542,32,-0.480595,0.552714
16191613033,16191613061,28,-0.499861,0.521690
16191806090,16191806108,18,-0.441909,0.415973
16191907649,16191907680,31,-0.441909,0.365392
16192009319,16192009346,27,-0.376910,0.309458
16192111447,16192111490,43,-0.168374,0.217419
16192213236,16192213267,31,-0.168374,0.154626
16192304651,16192304666,15,0.083971,0.031462
16192406367,16192406394,27,0.083971,-0.018605
16192508275,16192508302,27,0.304282,-0.103093
16192660773,16192660799,26,0.459516,-0.167868
16192762459,16192762490,31,0.480967,-0.208299
16192864649,16192864676,27,0.499885,-0.233517
16192966158,16192966189,31,0.486396,-0.243009
16193058465,16193058486,21,0.440976,-0.241307
16193160736,16193160755,19,0.440976,-0.221622
16193465983,16193466010,27,0.040152,-0.040685
16193567549,16193567581,32,0.040152,0.079289
16193710102,16193710122,20,-0.316978,0.134368
16193812751,16193812785,34,-0.354805,0.206260
16194016314,16194016332,18,-0.482110,0.292876
16194117862,16194117888,26,-0.499961,0.302527
16194209242,16194209258,16,-0.485214,0.294642
16194310899,16194310918,19,-0.439076,0.271517
16194513999,16194514025,26,-0.276934,0.153128
16194717750,16194717777,27,-0.162706,-0.081097
16194819269,16194819297,28,0.089502,-0.160044
16195012145,16195012166,21,0.089502,-0.254118
16195113791,16195113823,32,0.405613,-0.286343
16195215922,16195215951,29,0.461484,-0.296438
16195317530,16195317549,19,0.461484,-0.295058
16195419105,16195419151,46,0.496578,-0.254052
16195520742,16195520764,22,0.465704,-0.166627
16195713704,16195713726,22,0.317310,0.192635
16195815171,16195815335,164,0.209598,0.322066
16195916688,16195916712,24,0.100633,0.379653
16196018136,16196018158,22,0.100633,0.393019
16196119632,16196119653,21,-0.151390,0.361727
16196221212,16196221232,20,-0.266674,0.285667
16196424221,16196424247,26,-0.439320,-0.058495
16196515939,16196515960,21,-0.485333,-0.199866
16196618278,16196618330,52,-0.499962,-0.325530
16196720224,16196720245,21,-0.485400,-0.431628
16196924050,16196924083,33,-0.363759,-0.487421
16197025676,16197025702,26,-0.363759,-0.476291
16197219290,16197219324,34,-0.148831,-0.367555
16197321020,16197321060,40,0.091006,-0.244641
16197524423,16197524475,52,0.320365,-0.044493
16197626158,16197626187,29,0.407061,0.081170
16197717800,16197717820,20,0.467205,0.206833
16197819363,16197819385,22,0.497059,0.332497
16197920926,16197920944,18,0.494574,0.435854
16198022567,16198022605,38,0.464862,0.513681
16198124968,16198125002,34,0.464862,0.554924
16198227098,16198227133,35,0.315605,0.589291
16198328682,16198328706,24,0.206472,0.611398
16198420405,16198420422,17,0.206472,0.613179
16198522273,16198522309,36,0.084042,0.595898
16198623828,16198623849,21,-0.155846,0.559691
16198928748,16198928777,29,-0.441892,0.312673
16199020887,16199020900,13,-0.486645,0.187326
16199223889,16199223913,24,-0.483779,-0.016877
16199325468,16199325495,27,-0.436268,-0.095416
16199529440,16199529462,22,-0.261361,-0.318169
16199631405,16199631430,25,-0.144844,-0.400398
16199824429,16199824449,20,-0.018934,-0.505342
16200027658,16200027683,25,0.323539,-0.528400
16200129122,16200129145,23,0.409306,-0.513696
16200230482,16200230505,23,0.468612,-0.476674
16200331842,16200331861,19,0.468612,-0.419795
16200433214,16200433248,34,0.468612,-0.354263
16200524784,16200524801,17,0.458827,-0.261772
16200626276,16200626301,25,0.394062,-0.120429
16200727818,16200727837,19,0.394062,0.020943
16200829204,16200829230,26,0.204908,0.083775
16201133577,16201133603,26,-0.043839,0.315024
16201235267,16201235446,179,-0.281356,0.350020
