t_in,t_rcv,latence_us,q0_in,q0_rcv
4162856617,4162856619,2,0.000000,0.000000
4162866696,4162866699,3,0.012565,0.000000
4162886883,4162886885,2,0.025122,0.001857
4162907158,4162907160,2,0.050181,0.007796
4162937456,4162937458,2,0.075113,0.017255
4162987952,4162987955,3,0.087512,0.027615
4162998027,4162998030,3,0.099855,0.045695
4163008098,4163008100,2,0.112135,0.065344
4163028302,4163028304,2,0.124345,0.078694
4163048458,4163048461,3,0.136476,0.095332
4163068626,4163068628,2,0.160472,0.110305
4163098981,4163098983,2,0.172321,0.129231
4163129247,4163129249,2,0.184062,0.141038
4163139354,4163139356,2,0.207188,0.156554
4163179778,4163179781,3,0.218558,0.176081
4163199964,4163199967,3,0.229790,0.191546
4163260534,4163260537,3,0.251812,0.215995
4163280761,4163280763,2,0.262587,0.231733
4163311100,4163311102,2,0.273197,0.242662
4163341382,4163341384,2,0.283635,0.253342
4163361577,4163361579,2,0.303965,0.263937
4163402033,4163402036,3,0.313846,0.272175
4163462682,4163462684,2,0.342274,0.301299
4163533468,4163533470,2,0.351325,0.316405
4163543587,4163543589,2,0.360155,0.332147
4163563726,4163563729,3,0.368757,0.342316
4163594198,4163594201,3,0.377126,0.349421
4163634638,4163634641,3,0.385257,0.359212
4163664966,4163664969,3,0.393144,0.363848
4163695296,4163695299,3,0.400783,0.374137
4163715520,4163715522,2,0.408170,0.381467
4163745816,4163745819,3,0.415298,0.388756
4163776097,4163776100,3,0.422164,0.393574
4163826611,4163826613,2,0.446921,0.410823
4163867112,4163867114,2,0.452413,0.418289
4163907520,4163907521,1,0.467164,0.441137
4163937764,4163937767,3,0.475528,0.450994
4163968038,4163968041,3,0.485816,0.455312
4163998371,4163998374,3,0.488634,0.462821
4164059060,4164059062,2,0.495231,0.481017
4164109561,4164109563,2,0.499013,0.490050
4164129689,4164129692,3,0.499961,0.493454
4164170149,4164170151,2,0.499961,0.496044
4164190306,4164190308,2,0.499645,0.497746
4164240734,4164240736,2,0.498067,0.498663
4164250830,4164250832,2,0.496806,0.498783
4164271030,4164271033,3,0.495231,0.498261
4164321593,4164321595,2,0.491144,0.496230
4164341837,4164341839,2,0.488634,0.494187
4164362046,4164362048,2,0.485816,0.492846
4164402391,4164402393,2,0.482691,0.489968
4164422629,4164422632,3,0.479261,0.487540
4164442823,4164442826,3,0.475528,0.484784
4164533790,4164533792,2,0.462539,0.475183
4164564141,4164564143,2,0.457621,0.470919
4164584381,4164584384,3,0.441146,0.465289
4164614605,4164614608,3,0.435092,0.461435
4164675198,4164675201,3,0.422164,0.444026
4164695447,4164695450,3,0.415298,0.434388
4164725832,4164725836,4,0.408170,0.427667
4164756184,4164756186,2,0.400784,0.422625
4164806730,4164806733,3,0.385257,0.405695
4164867281,4164867284,3,0.360155,0.391285
4164917704,4164917706,2,0.351325,0.385142
4164927810,4164927812,2,0.333007,0.371099
4164948001,4164948004,3,0.323529,0.359501
4164968234,4164968237,3,0.313846,0.346629
4164998612,4164998615,3,0.303966,0.337637
4165028932,4165028934,2,0.283635,0.325635
4165069442,4165069445,3,0.273198,0.309751
4165109857,4165109860,3,0.251812,0.286486
4165160553,4165160556,3,0.218559,0.262311
4165201156,4165201158,2,0.207189,0.246330
4165241512,4165241514,2,0.184063,0.222463
4165271880,4165271884,4,0.172322,0.208902
4165342633,4165342637,4,0.136477,0.184416
4165352762,4165352763,1,0.099856,0.167427
4165383062,4165383065,3,0.087512,0.155866
4165423519,4165423522,3,0.062668,0.114621
4165453872,4165453874,2,0.050182,0.095328
4165494227,4165494229,2,0.025123,0.074902
4165514428,4165514430,2,0.012566,0.064015
4165544818,4165544822,4,0.000001,0.046470
4165605425,4165605427,2,-0.012564,0.025838
4165615539,4165615541,2,-0.025121,0.015205
4165635742,4165635745,3,-0.050180,0.001010
4165676168,4165676170,2,-0.062666,-0.013775
4165686253,4165686255,2,-0.075112,-0.030978
4165726681,4165726684,3,-0.087510,-0.050565
4165756972,4165756975,3,-0.099854,-0.060670
4165777162,4165777165,3,-0.112134,-0.074391
4165807436,4165807439,3,-0.136475,-0.090764
4165847859,4165847861,2,-0.148520,-0.099897
4165898362,4165898365,3,-0.172320,-0.132059
4165999091,4165999093,2,-0.207187,-0.174803
4166019259,4166019261,2,-0.218557,-0.183374
4166049573,4166049575,2,-0.240876,-0.189323
4166069799,4166069800,1,-0.251811,-0.199806
4166100121,4166100122,1,-0.262586,-0.217436
4166130438,4166130440,2,-0.273196,-0.230187
4166160667,4166160670,3,-0.283633,-0.246020
4166180884,4166180886,2,-0.293892,-0.259858
4166231389,4166231391,2,-0.313845,-0.283536
4166322330,4166322332,2,-0.342273,-0.314628
4166352635,4166352637,2,-0.351324,-0.324363
4166362718,4166362720,2,-0.360154,-0.333853
4166433428,4166433430,2,-0.385256,-0.353218
4166443554,4166443557,3,-0.393143,-0.364703
4166483994,4166483997,3,-0.400783,-0.375097
4166534518,4166534520,2,-0.415297,-0.392303
4166554741,4166554743,2,-0.422163,-0.402242
4166595174,4166595177,3,-0.435091,-0.407568
4166615409,4166615411,2,-0.446920,-0.416004
4166635542,4166635544,2,-0.457620,-0.428675
4166665882,4166665884,2,-0.467164,-0.438700
4166696189,4166696192,3,-0.471495,-0.448698
4166726479,4166726535,56,-0.475528,-0.453267
4166746747,4166746750,3,-0.479260,-0.463442
4166777045,4166777047,2,-0.482690,-0.469479
4166807406,4166807408,2,-0.485815,-0.475459
4166888187,4166888189,2,-0.493343,-0.482068
4166908357,4166908359,2,-0.495230,-0.485852
4166928583,4166928585,2,-0.496805,-0.490139
4166968968,4166968970,2,-0.498067,-0.492100
4167019487,4167019489,2,-0.499013,-0.494359
4167029601,4167029603,2,-0.499645,-0.496518
4167049799,4167049802,3,-0.499961,-0.497465
4167110455,4167110458,3,-0.496806,-0.498667
4167130686,4167130689,3,-0.495231,-0.498339
4167161075,4167161077,2,-0.491144,-0.497154
4167181298,4167181300,2,-0.488634,-0.496000
4167241906,4167241908,2,-0.479261,-0.490522
4167272213,4167272215,2,-0.475529,-0.488134
4167312577,4167312580,3,-0.471496,-0.482794
4167332736,4167332739,3,-0.467165,-0.479814
4167363019,4167363022,3,-0.462539,-0.475461
4167413543,4167413546,3,-0.457621,-0.470989
4167433748,4167433750,2,-0.446922,-0.466386
4167474091,4167474093,2,-0.441146,-0.460650
4167494249,4167494252,3,-0.435093,-0.453798
4167524565,4167524567,2,-0.428764,-0.447168
